Filename,Latitude,Longitude,LSTM Prediction,ElasticNet Prediction
2024-12-07T02-59-49.742140Z_210_vnaData.s1p,-28.862711,122.527477,37.63095,-25.016637786934034
2024-12-07T03-00-13.337686Z_210_vnaData.s1p,-28.862945,122.527504,35.011333,-12.068407201248334
2024-12-07T03-00-24.867397Z_210_vnaData.s1p,-28.863068,122.527518,22.820856,10.031396090244677
2024-12-07T03-00-47.718322Z_210_vnaData.s1p,-28.863303,122.527539,20.797146,-22.713526281336208
2024-12-07T03-01-10.599181Z_210_vnaData.s1p,-28.863306,122.527549,29.856375,18.925816708338118
2024-12-07T03-01-33.547429Z_210_vnaData.s1p,-28.863301,122.527555,46.232933,23.492828961612638
2024-12-07T03-01-45.070872Z_210_vnaData.s1p,-28.863307,122.527518,26.857874,13.608290849384012
2024-12-07T03-01-56.442365Z_210_vnaData.s1p,-28.863244,122.527443,42.55408,62.17122360946206
2024-12-07T03-02-07.937084Z_210_vnaData.s1p,-28.86324,122.527463,36.51081,45.931862125089914
2024-12-07T03-02-30.858687Z_210_vnaData.s1p,-28.863246,122.527441,75.077866,81.51654148045124
2024-12-07T03-02-53.758408Z_210_vnaData.s1p,-28.863035,122.527432,82.68546,65.72175942179078
2024-12-07T03-03-05.285156Z_210_vnaData.s1p,-28.862935,122.527422,42.52294,61.022697969051464
2024-12-07T03-03-16.676524Z_210_vnaData.s1p,-28.862818,122.527408,90.61292,120.24925129686295
2024-12-07T03-03-39.630970Z_210_vnaData.s1p,-28.862605,122.527385,111.68055,89.36703186913917
2024-12-07T03-04-02.506582Z_210_vnaData.s1p,-28.86241,122.527362,37.864464,46.56271710808588
2024-12-07T03-04-13.927704Z_210_vnaData.s1p,-28.862342,122.527401,61.622932,48.7642989328467
2024-12-07T03-04-25.447028Z_210_vnaData.s1p,-28.862393,122.527355,38.880306,30.509655046821536
2024-12-07T03-04-36.848712Z_210_vnaData.s1p,-28.862472,122.52731,30.50586,54.7557392456651
2024-12-07T03-04-59.761722Z_210_vnaData.s1p,-28.862531,122.527266,0.52102554,-15.395576145816577
2024-12-07T03-05-22.682731Z_210_vnaData.s1p,-28.86277,122.527301,51.07513,50.19116058269084
2024-12-07T03-05-34.122413Z_210_vnaData.s1p,-28.862895,122.527312,54.381004,32.16382414356284
2024-12-07T03-05-45.610132Z_210_vnaData.s1p,-28.863036,122.527336,73.06979,69.2154692545167
2024-12-07T03-05-57.094161Z_210_vnaData.s1p,-28.863168,122.527351,86.88349,114.90225660207051
2024-12-07T03-06-19.956198Z_210_vnaData.s1p,-28.863292,122.527315,58.89977,68.72525136600282
2024-12-07T03-06-42.910247Z_210_vnaData.s1p,-28.863281,122.527278,50.237038,65.21211443504691
2024-12-07T03-06-54.372817Z_210_vnaData.s1p,-28.863177,122.527249,83.89526,88.91443348195591
2024-12-07T03-07-05.806610Z_210_vnaData.s1p,-28.863045,122.527236,58.692547,49.63166829209619
2024-12-07T03-07-29.336957Z_210_vnaData.s1p,-28.862828,122.52721,91.55483,114.78190814997234
2024-12-07T03-07-40.741394Z_210_vnaData.s1p,-28.862683,122.527198,62.39051,95.57578529618743
2024-12-07T03-07-52.234695Z_210_vnaData.s1p,-28.862596,122.52722,88.80233,73.56920755271165
2024-12-07T03-08-15.167158Z_210_vnaData.s1p,-28.862476,122.52731,9.858616,30.553274854920843
2024-12-07T03-08-26.684932Z_210_vnaData.s1p,-28.862547,122.527246,28.498463,-21.45424363721387
2024-12-07T03-08-38.136406Z_210_vnaData.s1p,-28.862617,122.527192,23.942492,38.7416660584955
2024-12-07T03-09-00.960449Z_210_vnaData.s1p,-28.862712,122.527115,54.00539,31.357935341355617
2024-12-07T03-09-23.881466Z_210_vnaData.s1p,-28.862819,122.527113,101.65102,82.61119415279819
2024-12-07T03-09-35.362542Z_210_vnaData.s1p,-28.862963,122.52712,52.481014,85.92122569882
2024-12-07T03-09-46.837806Z_210_vnaData.s1p,-28.862996,122.527122,84.95249,61.43821789032551
2024-12-07T03-10-09.717507Z_210_vnaData.s1p,-28.862852,122.52712,77.23628,35.26308337403137
2024-12-07T03-10-21.163121Z_210_vnaData.s1p,-28.862849,122.527118,61.169006,61.823913309858526
2024-12-07T03-10-44.025627Z_210_vnaData.s1p,-28.86287,122.527105,89.567635,76.85773320049718
2024-12-07T03-10-55.548989Z_210_vnaData.s1p,-28.862862,122.527107,54.730297,68.70078154940862
2024-12-07T03-11-06.915768Z_210_vnaData.s1p,-28.862862,122.527107,83.386665,64.02557193847464
2024-12-07T03-11-29.840413Z_210_vnaData.s1p,-28.862863,122.527108,74.16652,55.84422560925196
2024-12-07T03-11-41.325806Z_210_vnaData.s1p,-28.862863,122.527108,80.3339,72.12922283703051
2024-12-07T03-12-04.209090Z_210_vnaData.s1p,-28.862862,122.52711,93.56823,71.98868614227517
2024-12-07T03-12-15.712921Z_210_vnaData.s1p,-28.862862,122.52711,55.896797,48.25250291459899
2024-12-07T03-12-27.128487Z_210_vnaData.s1p,-28.862861,122.52711,77.86266,64.62876503369857
2024-12-07T03-12-50.000901Z_210_vnaData.s1p,-28.862861,122.52711,89.867836,80.83750538413702
2024-12-07T03-13-12.931391Z_210_vnaData.s1p,-28.862861,122.52711,80.58599,76.94003370951701
2024-12-07T03-13-24.431956Z_210_vnaData.s1p,-28.862859,122.527109,85.65183,100.837939720545
2024-12-07T03-13-35.804055Z_210_vnaData.s1p,-28.862859,122.527109,88.415565,73.88823411669784
2024-12-07T03-13-47.301836Z_210_vnaData.s1p,-28.862858,122.527109,86.53361,68.44752448605765
2024-12-07T03-14-10.352653Z_210_vnaData.s1p,-28.862846,122.52712,84.32282,81.24214963733654
2024-12-07T03-14-33.207018Z_210_vnaData.s1p,-28.862845,122.527126,113.05956,103.8695187901364
2024-12-07T03-14-44.617552Z_210_vnaData.s1p,-28.862847,122.52712,88.849434,70.05848958517315
2024-12-07T03-14-56.426218Z_210_vnaData.s1p,-28.862851,122.527104,119.52954,119.43470355451203
2024-12-07T03-15-19.060268Z_210_vnaData.s1p,-28.862849,122.527106,115.32864,112.87560916237794
2024-12-07T03-15-30.465675Z_210_vnaData.s1p,-28.862849,122.527102,117.22993,107.57622883302943
2024-12-07T03-15-53.401607Z_210_vnaData.s1p,-28.862852,122.527109,116.12268,96.64418009094345
2024-12-07T03-16-04.851223Z_210_vnaData.s1p,-28.862852,122.527109,114.34745,124.51255832119989
2024-12-07T03-16-16.920114Z_210_vnaData.s1p,-28.862852,122.527109,79.71744,52.00822751816459
2024-12-07T03-16-28.393709Z_210_vnaData.s1p,-28.862852,122.527109,84.01761,54.7714302602608
2024-12-07T03-16-51.211355Z_210_vnaData.s1p,-28.862852,122.527109,90.61537,87.03438263193154
2024-12-07T03-17-02.724865Z_210_vnaData.s1p,-28.862852,122.527109,96.60062,87.07988207308341
2024-12-07T03-17-25.525078Z_210_vnaData.s1p,-28.862852,122.527113,98.08142,70.30908553606338
2024-12-07T03-17-37.048497Z_210_vnaData.s1p,-28.862862,122.52712,96.68688,64.83049686820456
2024-12-07T03-17-48.516329Z_210_vnaData.s1p,-28.862868,122.527111,84.388855,66.82888721590122
2024-12-07T03-18-12.040203Z_210_vnaData.s1p,-28.862873,122.527111,101.9374,89.89352163384751
2024-12-07T03-18-23.441069Z_210_vnaData.s1p,-28.862859,122.52711,100.82753,82.91439912622602
2024-12-07T03-18-34.868517Z_210_vnaData.s1p,-28.862856,122.527123,84.87555,71.24803850511655
2024-12-07T03-18-46.385675Z_210_vnaData.s1p,-28.862817,122.527118,99.86186,76.69696675343475
2024-12-07T03-19-09.198636Z_210_vnaData.s1p,-28.862711,122.527137,68.87496,87.04694513736925
2024-12-07T03-19-20.648583Z_210_vnaData.s1p,-28.862805,122.527077,34.95621,43.035620947502714
2024-12-07T03-19-43.535505Z_210_vnaData.s1p,-28.862873,122.527007,39.56609,55.71364821525867
2024-12-07T03-19-55.001818Z_210_vnaData.s1p,-28.862947,122.52699,74.80446,68.5613170354244
2024-12-07T03-20-06.423959Z_210_vnaData.s1p,-28.863072,122.527011,63.181454,61.98293714359219
2024-12-07T03-20-29.335018Z_210_vnaData.s1p,-28.863266,122.527019,46.11415,33.69734823340192
2024-12-07T03-20-41.429202Z_210_vnaData.s1p,-28.863222,122.527022,64.14177,91.29352046062215
2024-12-07T03-21-04.317536Z_210_vnaData.s1p,-28.862978,122.526998,102.625916,113.1267165897213
2024-12-07T03-21-15.748706Z_210_vnaData.s1p,-28.86286,122.527006,100.03391,96.91957825382173
2024-12-07T03-21-39.328064Z_210_vnaData.s1p,-28.862936,122.526976,58.894558,32.22687826303735
2024-12-07T03-21-50.737642Z_210_vnaData.s1p,-28.863004,122.526903,50.260826,78.72479137480448
2024-12-07T03-22-13.683091Z_210_vnaData.s1p,-28.863245,122.526918,60.327744,55.81194886798386
2024-12-07T03-22-25.120979Z_210_vnaData.s1p,-28.863208,122.526909,94.56327,59.97027918341935
2024-12-07T03-22-36.625286Z_210_vnaData.s1p,-28.863053,122.5269,19.116615,-8.377031062050321
2024-12-07T03-22-59.488017Z_210_vnaData.s1p,-28.862992,122.526922,63.360558,10.676425941403224
2024-12-07T03-23-10.853989Z_210_vnaData.s1p,-28.863117,122.526834,48.786835,40.94346836707061
2024-12-07T03-23-33.846475Z_210_vnaData.s1p,-28.863298,122.526824,66.57089,81.1156964632369
2024-12-07T03-23-57.340507Z_210_vnaData.s1p,-28.863213,122.526814,90.64787,81.7372276032953
2024-12-07T03-24-08.716847Z_210_vnaData.s1p,-28.863103,122.526851,78.728325,77.78915486287202
2024-12-07T03-24-31.669268Z_210_vnaData.s1p,-28.863306,122.526693,81.38648,87.38034004796737
2024-12-07T03-24-54.644487Z_210_vnaData.s1p,-28.863191,122.526678,86.65376,74.87865091096783
2024-12-07T03-25-06.177212Z_210_vnaData.s1p,-28.863197,122.52667,82.800255,72.80220117034273
2024-12-07T03-25-17.588551Z_210_vnaData.s1p,-28.863201,122.526661,72.86597,67.01559847403885
2024-12-07T03-25-29.051960Z_210_vnaData.s1p,-28.863196,122.526655,95.647995,76.87576181626322
2024-12-07T03-25-52.558114Z_210_vnaData.s1p,-28.863137,122.52671,94.39229,99.08939830633153
2024-12-07T03-26-04.051789Z_210_vnaData.s1p,-28.863131,122.526711,75.15867,63.17110926514123
2024-12-07T03-26-15.474844Z_210_vnaData.s1p,-28.863103,122.526734,90.473274,60.31574348956824
2024-12-07T03-26-26.908914Z_210_vnaData.s1p,-28.863033,122.526793,52.56161,56.95663602836541
2024-12-07T03-26-49.764484Z_210_vnaData.s1p,-28.862853,122.526907,89.39241,76.00410161299405
2024-12-07T03-27-12.735211Z_210_vnaData.s1p,-28.862685,122.527025,61.324055,45.313603850451024
2024-12-07T03-27-24.159477Z_210_vnaData.s1p,-28.862597,122.527061,56.042755,66.08346342318157
