Column1,DateTime,Default GPS,VaneSize,Depth,ShearStrenght,Result,TSF,Comments,Attachments,MachineID,Operator,Instrument,CorrectionFactor,Created,Title,Manual GPS,Modified
Amrun,27/07/2024 15:01,"-12.95719696, 141.62620917",20x40,20,10,10,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 15:02,VS,,27/07/2024 15:02
Amrun,27/07/2024 14:09,"-12.95722504, 141.62522041",20x40,50,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,27/07/2024 14:09,VS,,27/07/2024 14:09
Amrun,27/07/2024 14:09,"-12.95722504, 141.62522041",20x40,80,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,27/07/2024 14:10,VS,,27/07/2024 14:10
Amrun,27/07/2024 14:08,"-12.95722504, 141.62522041",20x40,20,92,92,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 14:09,VS,,27/07/2024 14:09
Amrun,27/07/2024 13:40,"-12.95734951, 141.62371318",20x40,80,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,27/07/2024 13:40,VS,,27/07/2024 13:40
Amrun,27/07/2024 13:39,"-12.95734951, 141.62371318",20x40,20,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 13:39,VS,,27/07/2024 13:39
Amrun,27/07/2024 13:39,"-12.95734951, 141.62371318",20x40,50,26,26,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 13:40,VS,,27/07/2024 13:40
Amrun,27/07/2024 13:21,"-12.95775284, 141.62317137",20x40,80,26,26,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 13:21,VS,,27/07/2024 13:21
Amrun,27/07/2024 13:20,"-12.95775284, 141.62317137",20x40,20,18,18,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 13:20,VS,,27/07/2024 13:20
Amrun,27/07/2024 13:20,"-12.95775284, 141.62317137",20x40,50,22,22,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 13:21,VS,,27/07/2024 13:21
Amrun,27/07/2024 12:41,"-12.95838525, 141.62316454",20x40,50,42,42,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 12:41,VS,,27/07/2024 12:41
Amrun,27/07/2024 12:41,"-12.95838525, 141.62316454",20x40,80,32,32,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 12:41,VS,,27/07/2024 12:41
