UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Mud Condition,Predicted Mud Condition
2025-01-17 07:55:25,-33.218445,116.066238,Unknown,-0.002244740888038388
2025-01-17 07:55:00,-33.218441,116.066154,Unknown,-0.1895789277479425
2025-01-17 07:54:35,-33.218346,116.066353,Unknown,-0.18313824916171706
2025-01-17 07:54:10,-33.218235,116.066544,Unknown,-0.1775213092837764
2025-01-17 07:53:45,-33.218132,116.066727,Unknown,0.1722763910143046
2025-01-17 07:53:20,-33.218033,116.066887,Unknown,0.13171869007357717
2025-01-17 07:52:55,-33.217934,116.067055,Unknown,0.2566029301063826
2025-01-17 07:52:30,-33.217846,116.0672,Unknown,0.08918725052418597
2025-01-17 07:52:05,-33.217754,116.06736,Unknown,0.2804602298363401
2025-01-17 07:51:40,-33.21767,116.067497,Unknown,0.32445229308403234
2025-01-17 07:51:15,-33.217594,116.067627,Unknown,0.5215721615794184
2025-01-17 07:50:50,-33.217495,116.067795,Unknown,0.46553475707290204
2025-01-17 07:50:25,-33.217392,116.067955,Unknown,1.3165463160245787
2025-01-17 07:50:00,-33.217293,116.06813,Unknown,1.3408569419083802
2025-01-17 07:49:10,-33.217182,116.068314,Unknown,1.2079233406198608
2025-01-17 07:48:45,-33.217091,116.068481,Unknown,0.6702153328762104
2025-01-17 07:48:20,-33.216984,116.068642,Unknown,0.9389339513772148
2025-01-17 07:47:55,-33.216896,116.068787,Unknown,0.7823718405473366
2025-01-17 07:47:30,-33.216869,116.06884,Unknown,1.5380637170797717
2025-01-17 07:47:05,-33.216766,116.069023,Unknown,1.3905357342183216
2025-01-17 07:46:40,-33.216663,116.069199,Unknown,1.2927121641398118
2025-01-17 07:46:15,-33.216549,116.069374,Unknown,1.2075027800885487
2025-01-17 07:45:50,-33.216442,116.069557,Unknown,0.6942339566877094
2025-01-17 07:45:00,-33.216454,116.069527,Good Run (50%),2.1682094333960875
2025-01-17 07:44:35,-33.216568,116.069336,Unknown,1.5119899678235527
2025-01-17 07:44:10,-33.216675,116.06916,Unknown,3.0100782017713654
2025-01-17 07:43:45,-33.216774,116.069,Good Run (50%),1.5909604009682208
2025-01-17 07:43:20,-33.216866,116.06884,Unknown,1.717264127930107
2025-01-17 07:42:55,-33.216957,116.068695,Unknown,1.4361601183661152
2025-01-17 07:42:30,-33.21706,116.068497,Unknown,1.3341730873913193
2025-01-17 07:42:05,-33.217171,116.068329,Unknown,1.775166822858623
2025-01-17 07:41:40,-33.217262,116.068153,Good Run (50%),1.5577151584686884
2025-01-17 07:41:15,-33.217377,116.067986,Good Run (50%),1.6644606376826503
2025-01-17 07:40:50,-33.217476,116.06781,Good Run (50%),1.4724650517231515
2025-01-17 07:40:25,-33.217583,116.067642,Unknown,1.2432743170978946
2025-01-17 07:40:00,-33.217682,116.067467,Water/Loose (10%),0.24075395498917196
2025-01-17 07:39:10,-33.217846,116.067192,Unknown,0.17394667275223497
2025-01-17 07:38:45,-33.217949,116.067024,Unknown,0.1993486034152807
2025-01-17 07:38:20,-33.21804,116.066879,Unknown,0.3023974942233878
2025-01-17 07:37:55,-33.218155,116.066673,Unknown,0.8208146239147043
2025-01-17 07:37:30,-33.218273,116.06646,Unknown,0.8438413272043024
2025-01-17 07:37:05,-33.218395,116.066231,Unknown,0.1957996483397466
2025-01-17 07:36:40,-33.218472,116.066025,Unknown,-0.1418416924438901
2025-01-17 07:35:50,-33.218365,116.0662,Unknown,-0.9599101612255696
2025-01-17 07:35:25,-33.218307,116.06633,Unknown,-1.151042762940425
2025-01-17 07:34:35,-33.218246,116.066437,Unknown,-0.1280476993428663
2025-01-17 07:34:10,-33.218109,116.066635,Unknown,0.17992845688349313
2025-01-17 07:33:45,-33.217999,116.066826,Unknown,0.323111455872916
2025-01-17 07:33:20,-33.217892,116.067009,Unknown,0.26691046951922837
2025-01-17 07:32:55,-33.217789,116.067177,Unknown,0.1682923482646257
2025-01-17 07:32:30,-33.217693,116.067345,Unknown,0.19989922678118233
2025-01-17 07:32:05,-33.217594,116.06752,Unknown,0.4688835393994677
2025-01-17 07:31:40,-33.217484,116.067711,Unknown,0.7441921511704663
2025-01-17 07:31:15,-33.217377,116.067902,Unknown,0.39127787643404255
2025-01-17 07:30:50,-33.217258,116.068077,Unknown,0.7073178533762736
2025-01-17 07:30:25,-33.217148,116.068268,Unknown,0.7217081051274783
2025-01-17 07:30:00,-33.217037,116.068451,Unknown,1.0808053888054698
2025-01-17 07:29:35,-33.216927,116.068626,Unknown,0.9102474304223227
2025-01-17 07:29:10,-33.216824,116.068802,Unknown,1.1353009340773883
2025-01-17 07:28:45,-33.216724,116.06897,Unknown,1.3829138067895856
2025-01-17 07:28:20,-33.216629,116.069145,Unknown,1.1459948283356076
2025-01-17 07:27:55,-33.216522,116.069321,Unknown,0.531814991727769
2025-01-17 07:27:30,-33.216427,116.069473,Unknown,0.4239036063830617
2025-01-17 07:27:05,-33.216335,116.069618,Unknown,0.6635584965765136
2025-01-17 07:26:15,-33.216415,116.069496,Water/Loose (10%),0.7555990614915
2025-01-17 07:25:50,-33.216518,116.069321,Unknown,1.1984797490732406
2025-01-17 07:25:25,-33.216618,116.069153,Unknown,1.4191736319507733
2025-01-17 07:25:00,-33.216709,116.069,Unknown,1.3107942192486384
2025-01-17 07:24:35,-33.216812,116.068825,Good Run (50%),1.4344598692427688
2025-01-17 07:23:20,-33.216877,116.068703,Unknown,1.3478714555107303
2025-01-17 07:22:55,-33.216999,116.068497,Good Run (50%),1.4923321129221856
2025-01-17 07:22:30,-33.217129,116.068283,Unknown,1.1466047398180974
2025-01-17 07:22:05,-33.217247,116.068069,Unknown,1.2981971819036229
2025-01-17 07:21:40,-33.217369,116.067863,Unknown,1.436511269740837
2025-01-17 07:21:15,-33.217491,116.067665,Unknown,1.3086879740094806
2025-01-16 16:02:02,-33.216057,116.06144,Unknown,0.800305834846345
2025-01-16 16:00:22,-33.216293,116.062111,Unknown,1.44972754616836
2025-01-16 15:58:42,-33.2169,116.062874,Unknown,1.601886267903986
2025-01-16 15:55:22,-33.217857,116.064117,Unknown,0.5878491714323328
2025-01-16 15:53:42,-33.218121,116.06443,Unknown,1.216044651053302
