UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Predicted Mud Condition
17/01/2025 8:47,-12.945068,141.639999,2.8024580708995437
17/01/2025 8:47,-12.945105,141.639832,4.224959843548016
17/01/2025 8:46,-12.945122,141.639633,2.7276092515322055
17/01/2025 8:46,-12.945144,141.639542,3.1897473134921452
17/01/2025 8:45,-12.945189,141.639236,2.321947514414378
17/01/2025 8:45,-12.94523,141.638977,1.6701847994402623
17/01/2025 8:45,-12.945269,141.638718,1.4012704438210553
17/01/2025 8:44,-12.945305,141.638474,0.2810597579817169
17/01/2025 8:44,-12.945336,141.638321,2.309069248998781
17/01/2025 8:43,-12.945403,141.638199,1.23010821331322
17/01/2025 8:43,-12.945435,141.63829,-0.39350076275268764
17/01/2025 8:42,-12.94541,141.638443,-0.8047083226308631
17/01/2025 8:42,-12.945392,141.638596,-0.05652313400846243
17/01/2025 8:42,-12.94537,141.638763,0.3284527909905903
17/01/2025 8:41,-12.945338,141.638962,0.21325393123668923
17/01/2025 8:41,-12.94531,141.63916,1.0660314492331604
17/01/2025 8:40,-12.945282,141.639374,4.340703288842551
17/01/2025 8:40,-12.945247,141.639587,4.015018152325528
17/01/2025 8:40,-12.945207,141.639786,4.245603377238687
17/01/2025 8:39,-12.945187,141.640045,2.3237290733710596
17/01/2025 8:39,-12.945157,141.640289,2.475776490728206
17/01/2025 8:38,-12.945127,141.640411,3.655658127097607
17/01/2025 8:38,-12.945093,141.640549,1.8689736774198527
17/01/2025 8:37,-12.945055,141.640762,0.7186064148971896
17/01/2025 8:37,-12.945086,141.640549,1.7871403889757775
17/01/2025 8:37,-12.945122,141.640442,2.5729795870069623
17/01/2025 8:36,-12.945142,141.64032,2.5081711828878617
17/01/2025 8:36,-12.945185,141.640121,1.9507206334472202
17/01/2025 8:35,-12.945195,141.639969,3.4836953489884537
17/01/2025 8:35,-12.945211,141.639786,3.987241272224267
17/01/2025 8:35,-12.945231,141.639648,4.392361458582979
17/01/2025 8:34,-12.94526,141.639465,3.984401565619204
17/01/2025 8:33,-12.945335,141.639084,3.3178584107815223
17/01/2025 8:33,-12.945367,141.638824,1.083908502832532
17/01/2025 8:32,-12.945395,141.638596,0.8996023847292762
17/01/2025 8:32,-12.945415,141.638412,-0.05293371124429935
17/01/2025 8:32,-12.945435,141.63826,-0.746227734687583
17/01/2025 8:31,-12.945514,141.638077,0.9207224482610823
17/01/2025 8:31,-12.945507,141.638184,-0.432095088296955
17/01/2025 8:30,-12.945497,141.638351,-1.3016352748144824
17/01/2025 8:30,-12.945495,141.638489,-1.2098246412521227
17/01/2025 8:30,-12.94548,141.638657,-0.5937607891486332
17/01/2025 8:29,-12.945485,141.638794,0.09734181650750329
17/01/2025 8:29,-12.945492,141.638931,0.2079535442579823
17/01/2025 8:28,-12.94547,141.639114,1.4129356926794465
17/01/2025 8:28,-12.945454,141.639343,1.7689635153927852
17/01/2025 8:27,-12.94544,141.639587,1.464216468737547
17/01/2025 8:27,-12.945421,141.639862,1.943720049715797
17/01/2025 8:27,-12.94541,141.64006,0.9367907354975893
17/01/2025 8:26,-12.945403,141.640198,-0.1849355016727876
17/01/2025 8:25,-12.945372,141.640533,0.3434296474825844
17/01/2025 8:25,-12.945369,141.640671,1.0985320689854867
17/01/2025 8:24,-12.945375,141.640625,0.9850509709098498
17/01/2025 8:24,-12.945378,141.640457,2.1305743518283773
17/01/2025 8:23,-12.945387,141.640289,0.01563597958033691
17/01/2025 8:23,-12.945396,141.640152,1.073697344167859
17/01/2025 8:22,-12.945412,141.639999,-0.13432129414802052
17/01/2025 8:22,-12.945427,141.639801,0.9224475638923815
17/01/2025 8:21,-12.94545,141.639374,2.893851155526032
